ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S1024-94352001000400008-cub","Indicadores bibliométricos y econométricos en la evaluación de instituciones científicas","Rousseau, Ronald","ACIMED; 9(); 50-60","ACIMED","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352001000400008&lang=pt" 
"S1024-94352001000400017-cub","Informetría: explorando bases de datos como instrumentos de análisis","Worwell, Irene","ACIMED; 9(); 115-121","ACIMED","Espanhol","2001","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352001000400017&lang=pt" 
"S0102-79721999000200019-scl","A produção científica na psicologia: uma análise dos periódicos brasileiros no período 1990-1997","Yamamoto, Oswaldo H., Souza, Carina Cavalcanti de, Yamamoto, Maria Emília","Psicologia: Reflexão e Crítica; 12(2); 549-565","Psicologia: Reflexão e Crítica","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79721999000200019&lang=pt" 
"S0100-19651998000200016-scl","Informetria: explorando bases de dados como instrumentos de análise","Wormell, Irene","Ciência da Informação; 27(2); 210-216","Ciência da Informação","Português","1998","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19651998000200016&lang=pt" 
"S0100-19651998000200007-scl","Indicadores bibliométricos e econométricos para a avaliação de instituições científicas","Rousseau, Ronald","Ciência da Informação; 27(2); 149-158","Ciência da Informação","Português","1998","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19651998000200007&lang=pt" 
"S0100-19651998000200006-scl","Indicadores cienciometricos","Spinak, Ernesto","Ciência da Informação; 27(2); 141-148","Ciência da Informação","Espanhol","1998","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-19651998000200006&lang=pt" 
"S1413-81231997000100142-scl","Difusão da Produção Científica dos Cursos de Pós-Graduação em Saúde Coletiva","Viacava, Francisco, Ramos, Célia Leitão","Ciência &amp; Saúde Coletiva; 2(1-2); 142-153","Ciência &amp; Saúde Coletiva","Português","1997","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81231997000100142&lang=pt" 
"S1413-81231997000100117-scl","A Produção Científica em Saúde Coletiva (1994-1995)","Luz, Madel T.","Ciência &amp; Saúde Coletiva; 2(1-2); 117-141","Ciência &amp; Saúde Coletiva","Português","1997","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81231997000100117&lang=pt" 
"S1413-81231997000100117-spa","A Produção Científica em Saúde Coletiva (1994-1995)","Luz, Madel T.","Ciência &amp; Saúde Coletiva; 2(1-2); 117-141","Ciência &amp; Saúde Coletiva","Português","1997","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81231997000100117&lang=pt" 
"S1413-81231997000100142-spa","Difusão da Produção Científica dos Cursos de Pós-Graduação em Saúde Coletiva","Viacava, Francisco, Ramos, Célia Leitão","Ciência &amp; Saúde Coletiva; 2(1-2); 142-153","Ciência &amp; Saúde Coletiva","Português","1997","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81231997000100142&lang=pt" 
